id,name,text,trans 利兹
0-chapter_name,,海色の輝石,海色的辉石
0-synopsis,,ならず者から得た情報をもとに、<span>姬塔</span>たちは洞窟を訪れていた。宝石魔術を使う者の使命として宝石の闇取引など決して許さないと熱く語るレ・フィーエに、突如現れた魔物が襲いかかる。,根据从暴徒们手中得来的消息、<span>姬塔</span>他们拜访了洞窟。作为宝石魔法使用者，绝不允许宝石的暗中交易，蕾·芬耶这么热切地说着，突然出现的魔物袭击了他们。
0,,<span class='scene-font-katari'>ならず者達から事情を聞き出した一行は、</span><br><span class='scene-font-katari'>彼らが海色の輝石を見つけたという</span><br><span class='scene-font-katari'>洞窟を訪れていた。</span>,<span class='scene-font-katari'>从暴徒中打探到消息的一行人、</span><br><span class='scene-font-katari'>来到了能找到海色的辉石的</span><br><span class='scene-font-katari'>洞窟。</span>
1,レ・フィーエ/蕾・芬耶,許せませんわ……<br>伝説の宝石を手に入れて、<br>闇のルートで売りさばこうなんて！,无法原谅……<br>得到传说中的宝石、<br>通过黑色渠道卖出去什么的！
2,レ・フィーエ/蕾・芬耶,闇商人達の取り締まりを<br>強化しないといけませんわね。<br>後で<span class='scene-font-place'>宝石境</span>に手紙を出さないと……,必须要强化暗商<br>的取缔工作啊。<br>之后一定要给<span class='scene-font-place'>宝石境</span>寄信过去了……
3,ビィ/碧,ふぅん……<br><span class='scene-font-place'>宝石境</span>は宝石の闇取引の<br>取り締まりもやってるんだな。,唔……<br><span class='scene-font-place'>宝石境</span>也在做着取缔の<br>宝石的暗中交易之事啊。
4,レ・フィーエ/蕾・芬耶,ふん……当然ですわ。<br><span class='scene-font-place'>宝石境</span>に生きる者は、<br>輝石の輝きと共に生きる者ですもの。,哼……这可是当然。<br>在<span class='scene-font-place'>宝石境</span>生活的人、<br>都是和辉石的光辉共存之人。
5,レ・フィーエ/蕾・芬耶,宝石に護られ、宝石を護る。<br>それが宝石魔術を使う者の使命ですわ。,被宝石守护着、与此同时守护着宝石。<br>这就是宝石魔法使用者的使命。
6,レ・フィーエ/蕾・芬耶,宝石は私達に力を与えてくれますの……<br>だからこそ、宝石には感謝をもって<br>接しなければなりませんのよ。,宝石赋予我们力量……<br>正因如此、一定要对宝石满怀<br>感激之情。
7,レ・フィーエ/蕾・芬耶,だというのに……<br>貴重な宝石で荒稼ぎしようなど、<br>まったくもって言語道断ですわ！,尽管这样……<br>用贵重的宝石来赚钱什么的、<br>真是岂有此理！
8,ルリア/露莉亚,ま、まぁまぁ……<br>でも、これで私達も<br>伝説の宝石を見つけられそうですね！,是、是呢……<br>但是、这样来看<br>我们应该也能找到传说中的宝石呢！
9,レ・フィーエ/蕾・芬耶,ええ……先ほどの方々いわく、<br>この洞窟にあるのは、<br>間違いないらしいですけど……,嗯……就像之前的各位说的那样、<br>应该在这个洞窟里没错了……
10,魔物,<span class='scene-font-5'>グォォォォォッ！</span>,<span class='scene-font-5'>吼哦哦哦哦哦！</span>
11,レ・フィーエ/蕾・芬耶,そう簡単には、<br>お目にかからせて<br>くれないようですわね！,好像是不会让我这么简单就见到呢！
12,レ・フィーエ/蕾・芬耶,この程度の魔物、<br>私の華麗な宝石魔術で、<br>蹴散らして差し上げますわ！,这种程度的魔物、<br>就让我用华丽的宝石魔法来轻松打倒吧！
info,,,scene_chr067_q2_s10